第15任總統副總統選舉候選人在嘉義市各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"6,204","56,269","99,265","161,738","1,664","163,402",4,"163,406","51,649","215,055",75.9815
　東區,,"2,885","26,977","43,668","73,530",796,"74,326",2,"74,328","23,508","97,836",75.9700
,短竹里,56,683,977,"1,716",14,"1,730",0,"1,730",527,"2,257",76.6504
,蘭潭里,53,617,892,"1,562",14,"1,576",0,"1,576",515,"2,091",75.3706
,東川里,47,566,726,"1,339",14,"1,353",0,"1,353",366,"1,719",78.7086
,鹿寮里,27,221,461,709,6,715,0,715,283,998,71.6433
,盧厝里,54,481,840,"1,375",22,"1,397",0,"1,397",395,"1,792",77.9576
,文雅里,130,"1,061","1,489","2,680",30,"2,710",0,"2,710",852,"3,562",76.0809
,王田里,58,748,900,"1,706",25,"1,731",0,"1,731",493,"2,224",77.8327
,長竹里,79,817,"1,271","2,167",20,"2,187",2,"2,189",581,"2,770",78.9531
,後庄里,109,"1,183","1,631","2,923",37,"2,960",0,"2,960",869,"3,829",77.3048
,新店里,126,"1,214","1,722","3,062",44,"3,106",0,"3,106",899,"4,005",77.5531
,圳頭里,114,"1,422","1,552","3,088",26,"3,114",0,"3,114",991,"4,105",75.8587
,中山里,57,569,760,"1,386",15,"1,401",0,"1,401",404,"1,805",77.6177
,太平里,145,"1,289","1,674","3,108",45,"3,153",0,"3,153",911,"4,064",77.5837
,東興里,39,520,846,"1,405",15,"1,420",0,"1,420",394,"1,814",78.2800
,華南里,38,508,878,"1,424",12,"1,436",0,"1,436",478,"1,914",75.0261
,中央里,42,478,"1,062","1,582",23,"1,605",0,"1,605",493,"2,098",76.5014
,朝陽里,45,512,910,"1,467",10,"1,477",0,"1,477",461,"1,938",76.2126
,民族里,30,423,705,"1,158",13,"1,171",0,"1,171",556,"1,727",67.8054
,過溝里,41,516,966,"1,523",15,"1,538",0,"1,538",494,"2,032",75.6890
,新開里,75,531,839,"1,445",20,"1,465",0,"1,465",478,"1,943",75.3989
,宣信里,29,293,601,923,15,938,0,938,359,"1,297",72.3207
,興南里,43,363,741,"1,147",15,"1,162",0,"1,162",416,"1,578",73.6375
,豐年里,28,296,586,910,14,924,0,924,295,"1,219",75.7998
,芳草里,79,844,"1,461","2,384",30,"2,414",0,"2,414",888,"3,302",73.1072
,芳安里,68,575,938,"1,581",18,"1,599",0,"1,599",477,"2,076",77.0231
,頂寮里,63,608,"1,187","1,858",28,"1,886",0,"1,886",539,"2,425",77.7732
,安寮里,75,682,"1,186","1,943",16,"1,959",0,"1,959",684,"2,643",74.1203
,安業里,55,490,812,"1,357",12,"1,369",0,"1,369",467,"1,836",74.5643
,興村里,120,978,"1,745","2,843",21,"2,864",0,"2,864",896,"3,760",76.1702
,興安里,78,695,"1,154","1,927",24,"1,951",0,"1,951",605,"2,556",76.3302
,興仁里,104,"1,017","1,574","2,695",20,"2,715",0,"2,715",843,"3,558",76.3069
,北門里,60,475,988,"1,523",17,"1,540",0,"1,540",532,"2,072",74.3243
,林森里,79,555,"1,093","1,727",20,"1,747",0,"1,747",494,"2,241",77.9563
,中庄里,115,824,"1,393","2,332",28,"2,360",0,"2,360",724,"3,084",76.5240
,頂庄里,72,585,951,"1,608",16,"1,624",0,"1,624",494,"2,118",76.6761
,義教里,70,689,"1,217","1,976",14,"1,990",0,"1,990",682,"2,672",74.4760
,仁義里,97,745,"1,204","2,046",15,"2,061",0,"2,061",667,"2,728",75.5499
,後湖里,122,823,"1,520","2,465",26,"2,491",0,"2,491",767,"3,258",76.4579
,荖藤里,156,961,"2,079","3,196",24,"3,220",0,"3,220","1,078","4,298",74.9186
,東區各里平地、山地原住民,7,120,137,264,3,267,0,267,161,428,62.3832
　西區,,"3,319","29,292","55,597","88,208",868,"89,076",2,"89,078","28,141","117,219",75.9911
,書院里,57,469,883,"1,409",16,"1,425",1,"1,426",478,"1,904",74.8424
,永和里,56,452,882,"1,390",14,"1,404",0,"1,404",457,"1,861",75.4433
,新富里,44,333,825,"1,202",9,"1,211",0,"1,211",406,"1,617",74.8918
,文化里,69,509,"1,055","1,633",13,"1,646",0,"1,646",540,"2,186",75.2973
,西榮里,59,480,"1,069","1,608",23,"1,631",0,"1,631",529,"2,160",75.5093
,番社里,31,340,669,"1,040",10,"1,050",0,"1,050",299,"1,349",77.8354
,國華里,34,309,607,950,6,956,0,956,324,"1,280",74.6875
,大溪里,64,416,"1,015","1,495",15,"1,510",0,"1,510",534,"2,044",73.8748
,磚?里,110,707,"1,664","2,481",32,"2,513",0,"2,513",852,"3,365",74.6805
,福全里,126,974,"1,861","2,961",25,"2,986",0,"2,986","1,022","4,008",74.5010
,福安里,115,975,"1,986","3,076",31,"3,107",0,"3,107",937,"4,044",76.8299
,新西里,49,470,952,"1,471",13,"1,484",0,"1,484",490,"1,974",75.1773
,港坪里,98,844,"1,559","2,501",21,"2,522",0,"2,522",673,"3,195",78.9358
,頭港里,60,400,901,"1,361",11,"1,372",0,"1,372",412,"1,784",76.9058
,西平里,95,764,"1,508","2,367",22,"2,389",0,"2,389",663,"3,052",78.2765
,劉厝里,201,"1,767","2,908","4,876",52,"4,928",0,"4,928","1,459","6,387",77.1567
,自強里,43,408,719,"1,170",8,"1,178",0,"1,178",357,"1,535",76.7427
,美源里,98,957,"1,600","2,655",26,"2,681",0,"2,681",861,"3,542",75.6917
,湖內里,116,898,"2,140","3,154",40,"3,194",0,"3,194",973,"4,167",76.6499
,獅子里,75,711,"1,220","2,006",15,"2,021",0,"2,021",623,"2,644",76.4372
,紅瓦里,42,351,777,"1,170",12,"1,182",0,"1,182",368,"1,550",76.2581
,光路里,124,"1,335","2,226","3,685",43,"3,728",0,"3,728","1,130","4,858",76.7394
,福民里,150,"1,300","2,405","3,855",34,"3,889",1,"3,890","1,370","5,260",73.9354
,車店里,168,"1,430","2,574","4,172",47,"4,219",0,"4,219","1,298","5,517",76.4727
,垂楊里,40,447,849,"1,336",19,"1,355",0,"1,355",511,"1,866",72.6152
,培元里,31,592,621,"1,244",12,"1,256",0,"1,256",346,"1,602",78.4020
,育英里,49,468,820,"1,337",9,"1,346",0,"1,346",395,"1,741",77.3119
,致遠里,45,844,375,"1,264",10,"1,274",0,"1,274",416,"1,690",75.3846
,翠岱里,37,709,312,"1,058",5,"1,063",0,"1,063",290,"1,353",78.5661
,導明里,39,364,726,"1,129",10,"1,139",0,"1,139",391,"1,530",74.4444
,北榮里,75,470,"1,105","1,650",18,"1,668",0,"1,668",478,"2,146",77.7260
,慶安里,31,334,762,"1,127",12,"1,139",0,"1,139",378,"1,517",75.0824
,香湖里,9,183,366,558,7,565,0,565,200,765,73.8562
,重興里,56,429,903,"1,388",9,"1,397",0,"1,397",493,"1,890",73.9153
,後驛里,62,412,"1,023","1,497",22,"1,519",0,"1,519",520,"2,039",74.4973
,湖邊里,54,392,"1,025","1,471",10,"1,481",0,"1,481",495,"1,976",74.9494
,竹圍里,103,"1,027","2,022","3,152",39,"3,191",0,"3,191","1,073","4,264",74.8358
,保生里,117,960,"2,067","3,144",29,"3,173",0,"3,173",998,"4,171",76.0729
,保安里,108,790,"1,501","2,399",26,"2,425",0,"2,425",710,"3,135",77.3525
,北新里,26,236,573,835,10,845,0,845,210,"1,055",80.0948
,新厝里,110,846,"2,105","3,061",24,"3,085",0,"3,085",878,"3,963",77.8451
,保福里,93,870,"1,581","2,544",22,"2,566",0,"2,566",923,"3,489",73.5454
,竹村里,29,261,577,867,7,874,0,874,238,"1,112",78.5971
,北湖里,66,642,"1,421","2,129",17,"2,146",0,"2,146",651,"2,797",76.7251
,下埤里,44,339,739,"1,122",10,"1,132",0,"1,132",365,"1,497",75.6179
,西區各里平地、山地原住民,11,78,119,208,3,211,0,211,127,338,62.4260
