第15任總統副總統選舉候選人在澎湖縣各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,"2,583","20,911","27,410","50,904",644,"51,548",0,"51,548","36,884","88,432",58.2911
　馬公市,,"1,664","13,672","17,203","32,539",391,"32,930",0,"32,930","19,089","52,019",63.3038
,復興里,13,109,179,301,2,303,0,303,204,507,59.7633
,長安里,11,175,171,357,6,363,0,363,178,541,67.0980
,中央里,14,133,178,325,2,327,0,327,196,523,62.5239
,啟明里,32,210,342,584,5,589,0,589,285,874,67.3913
,重慶里,21,249,383,653,14,667,0,667,311,978,68.2004
,中興里,21,222,236,479,5,484,0,484,265,749,64.6195
,光復里,46,500,605,"1,151",14,"1,165",0,"1,165",713,"1,878",62.0341
,光明里,46,396,334,776,8,784,0,784,514,"1,298",60.4006
,光榮里,107,"1,440","1,035","2,582",28,"2,610",0,"2,610","1,393","4,003",65.2011
,朝陽里,161,"1,455","1,587","3,203",40,"3,243",0,"3,243","1,773","5,016",64.6531
,陽明里,62,597,770,"1,429",24,"1,453",0,"1,453",900,"2,353",61.7510
,重光里,46,385,483,914,14,928,0,928,506,"1,434",64.7141
,西衛里,186,"1,364","1,996","3,546",40,"3,586",0,"3,586","1,632","5,218",68.7236
,西文里,90,833,956,"1,879",27,"1,906",0,"1,906","1,092","2,998",63.5757
,東文里,111,872,"1,006","1,989",17,"2,006",0,"2,006","1,087","3,093",64.8561
,案山里,52,445,576,"1,073",11,"1,084",0,"1,084",748,"1,832",59.1703
,光華里,55,212,328,595,10,605,0,605,450,"1,055",57.3460
,前寮里,35,225,350,610,3,613,0,613,301,914,67.0678
,石泉里,98,789,765,"1,652",23,"1,675",0,"1,675",835,"2,510",66.7331
,菜園里,17,104,152,273,3,276,0,276,155,431,64.0371
,東衛里,75,612,611,"1,298",13,"1,311",0,"1,311",730,"2,041",64.2332
,安宅里,16,157,228,401,2,403,0,403,219,622,64.7910
,興仁里,39,286,355,680,8,688,0,688,407,"1,095",62.8311
,烏崁里,22,187,410,619,9,628,0,628,362,990,63.4343
,鐵線里,23,132,278,433,4,437,0,437,204,641,68.1747
,鎖港里,64,453,926,"1,443",18,"1,461",0,"1,461",971,"2,432",60.0740
,山水里,71,283,648,"1,002",13,"1,015",0,"1,015",643,"1,658",61.2183
,五德里,13,78,133,224,5,229,0,229,210,439,52.1640
,井垵里,13,81,134,228,4,232,0,232,135,367,63.2153
,?裡里,42,339,276,657,10,667,0,667,481,"1,148",58.1010
,風櫃里,29,187,521,737,5,742,0,742,601,"1,343",55.2494
,虎井里,17,114,164,295,2,297,0,297,450,747,39.7590
,桶盤里,16,48,87,151,2,153,0,153,138,291,52.5773
　湖西鄉,,394,"2,636","4,501","7,531",125,"7,656",0,"7,656","5,318","12,974",59.0103
,湖西村,30,293,396,719,12,731,0,731,453,"1,184",61.7399
,湖東村,11,74,115,200,2,202,0,202,133,335,60.2985
,青螺村,5,48,56,109,1,110,0,110,123,233,47.2103
,白坑村,5,75,83,163,1,164,0,164,121,285,57.5439
,南寮村,10,94,272,376,2,378,0,378,291,669,56.5022
,北寮村,12,72,117,201,5,206,0,206,125,331,62.2356
,紅羅村,27,108,306,441,10,451,0,451,288,739,61.0284
,西溪村,21,150,217,388,3,391,0,391,335,726,53.8567
,成功村,31,166,253,450,6,456,0,456,299,755,60.3974
,東石村,8,37,56,101,1,102,0,102,20,122,83.6066
,沙港村,10,111,336,457,14,471,0,471,312,783,60.1533
,中西村,6,47,61,114,1,115,0,115,90,205,56.0976
,鼎灣村,11,121,125,257,6,263,0,263,435,698,37.6791
,潭邊村,13,82,114,209,6,215,0,215,69,284,75.7042
,許家村,7,105,80,192,4,196,0,196,132,328,59.7561
,城北村,17,91,84,192,3,195,0,195,100,295,66.1017
,太武村,2,25,31,58,2,60,0,60,33,93,64.5161
,隘門村,39,186,280,505,6,511,0,511,328,839,60.9058
,林投村,27,177,387,591,8,599,0,599,358,957,62.5914
,尖山村,14,98,243,355,8,363,0,363,285,648,56.0185
,龍門村,68,371,588,"1,027",14,"1,041",0,"1,041",688,"1,729",60.2082
,?葉村,20,105,301,426,10,436,0,436,300,736,59.2391
　白沙鄉,,169,"1,896","2,241","4,306",38,"4,344",0,"4,344","4,108","8,452",51.3961
,中屯村,14,151,173,338,1,339,0,339,169,508,66.7323
,講美村,15,173,187,375,4,379,0,379,261,640,59.2188
,城前村,2,30,35,67,1,68,0,68,46,114,59.6491
,鎮海村,3,56,30,89,1,90,0,90,67,157,57.3248
,港子村,6,74,81,161,3,164,0,164,131,295,55.5932
,岐頭村,4,57,49,110,1,111,0,111,105,216,51.3889
,小赤村,4,54,47,105,0,105,0,105,63,168,62.5000
,赤崁村,45,456,462,963,9,972,0,972,687,"1,659",58.5895
,瓦硐村,5,70,71,146,3,149,0,149,146,295,50.5085
,後寮村,20,97,226,343,3,346,0,346,366,712,48.5955
,通梁村,16,157,209,382,4,386,0,386,369,755,51.1258
,吉貝村,20,114,429,563,5,568,0,568,814,"1,382",41.0999
,鳥嶼村,10,289,125,424,3,427,0,427,634,"1,061",40.2451
,員貝村,3,90,24,117,0,117,0,117,123,240,48.7500
,大倉村,2,28,93,123,0,123,0,123,127,250,49.2000
　西嶼鄉,,177,"1,555","2,040","3,772",55,"3,827",0,"3,827","3,355","7,182",53.2860
,橫礁村,12,65,86,163,2,165,0,165,117,282,58.5106
,合界村,16,63,140,219,4,223,0,223,178,401,55.6110
,竹灣村,15,127,274,416,5,421,0,421,384,805,52.2981
,小門村,7,114,29,150,2,152,0,152,129,281,54.0925
,大池村,17,118,207,342,3,345,0,345,288,633,54.5024
,二崁村,2,23,49,74,2,76,0,76,73,149,51.0067
,池東村,15,148,168,331,7,338,0,338,306,644,52.4845
,池西村,4,32,65,101,5,106,0,106,110,216,49.0741
,赤馬村,13,71,191,275,9,284,0,284,279,563,50.4440
,內垵村,29,165,442,636,8,644,0,644,571,"1,215",53.0041
,外垵村,47,629,389,"1,065",8,"1,073",0,"1,073",920,"1,993",53.8384
　望安鄉,,89,542,928,"1,559",10,"1,569",0,"1,569","2,981","4,550",34.4835
,東安村,14,131,166,311,2,313,0,313,379,692,45.2312
,西安村,10,78,79,167,0,167,0,167,256,423,39.4799
,中社村,7,41,58,106,1,107,0,107,192,299,35.7860
,水垵村,4,60,95,159,1,160,0,160,306,466,34.3348
,將軍村,19,118,324,461,5,466,0,466,938,"1,404",33.1909
,東吉村,2,21,33,56,0,56,0,56,218,274,20.4380
,東坪村,10,26,100,136,0,136,0,136,329,465,29.2473
,西坪村,4,9,28,41,0,41,0,41,176,217,18.8940
,花嶼村,19,58,45,122,1,123,0,123,187,310,39.6774
　七美鄉,,90,610,497,"1,197",25,"1,222",0,"1,222","2,033","3,255",37.5422
,東湖村,9,32,39,80,1,81,0,81,166,247,32.7935
,西湖村,16,120,67,203,8,211,0,211,355,566,37.2792
,中和村,15,112,98,225,7,232,0,232,388,620,37.4194
,平和村,12,61,81,154,2,156,0,156,203,359,43.4540
,海豐村,3,63,50,116,2,118,0,118,231,349,33.8109
,南港村,35,222,162,419,5,424,0,424,690,"1,114",38.0610
